"STATION","NAME","DATE","AWND","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT08","WT09"
"USW00094741","TETERBORO AIRPORT, NJ US","2011-01-01","2.24"," 1911","0.00",,,,"49","28","  190","  160","10.1","14.1","    1",,,,,"    1",
"USW00094741","TETERBORO AIRPORT, NJ US","2011-01-02","4.03"," 2313","0.04",,,,"51","35","  310","  320","23.9","31.1","    1","    1",,,,"    1",
"USW00094741","TETERBORO AIRPORT, NJ US","2011-01-03","10.07"," 0226","0.00",,,,"36","26","  320","  300","25.1","32.0",,,,,,,
"USW00094741","TETERBORO AIRPORT, NJ US","2011-01-04","5.37"," 1429","0.00",,,,"40","24","  190","  200","16.1","18.1",,,,,,,
"USW00094741","TETERBORO AIRPORT, NJ US","2011-01-05","6.04"," 1210","0.00",,,,"39","25","  290","  290","17.0","23.0",,,,,,,
"USW00094741","TETERBORO AIRPORT, NJ US","2011-01-06","1.12"," 1343","0.00",,,,"33","21","  260","  260","10.1","13.0",,,,,,,
"USW00094741","TETERBORO AIRPORT, NJ US","2011-01-07","3.13"," 1618","0.30",,,,"34","19","  260","  260","8.9","12.1","    1","    1",,,,"    1",
"USW00094741","TETERBORO AIRPORT, NJ US","2011-01-08","3.36"," 1654","0.00",,,,"30","10","  320","  310","13.0","16.1","    1",,,,,"    1",
"USW00094741","TETERBORO AIRPORT, NJ US","2011-01-09","14.99"," 1058","0.00",,,,"31","25","  310","  280","23.9","36.0",,,,,,,
"USW00094741","TETERBORO AIRPORT, NJ US","2011-01-10","9.62"," 1135","0.00",,,,"35","23","  310","  320","25.1","30.0",,,,,,,
"USW00094741","TETERBORO AIRPORT, NJ US","2011-01-11","4.92"," 2332","0.14",,,,"30","20","  350","  350","14.1","18.1","    1","    1",,,,,
"USW00094741","TETERBORO AIRPORT, NJ US","2011-01-12","13.65"," 2105","0.16",,,,"32","23","  320","  290","23.9","33.1","    1","    1",,,,"    1",
"USW00094741","TETERBORO AIRPORT, NJ US","2011-01-13","12.75"," 2352","0.00",,,,"30","17","  320","  310","21.0","28.0",,,,,,,
