"STATION","NAME","DATE","AWND","PGTM","PRCP","SNOW","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT03","WT04","WT08"
"USW00094741","TETERBORO AIRPORT, NJ US","2019-08-20","4.92"," 1529","0.00",,,"90","73","  180","  150","14.1","21.9",,,,
"USW00094741","TETERBORO AIRPORT, NJ US","2019-08-21","6.71"," 1658","0.03",,,"90","76","  250","  240","17.0","25.9",,,,
"USW00094741","TETERBORO AIRPORT, NJ US","2019-08-22","6.26"," 1925","0.88",,,"92","71","  290","  320","19.9","29.1",,,,
"USW00094741","TETERBORO AIRPORT, NJ US","2019-08-23","4.03"," 0153","0.38",,,"76","65","  330","  330","14.1","17.0",,,,
"USW00094741","TETERBORO AIRPORT, NJ US","2019-08-24","5.82"," 1156","0.00",,,"78","62","  320","  330","14.1","19.0",,,,
"USW00094741","TETERBORO AIRPORT, NJ US","2019-08-25","8.50"," 1657","0.00",,,"78","62","  100","  100","15.0","23.9",,,,
"USW00094741","TETERBORO AIRPORT, NJ US","2019-08-26","5.37"," 1419","0.00",,,"75","59","  110","  120","15.0","21.0",,,,
"USW00094741","TETERBORO AIRPORT, NJ US","2019-08-27","5.14"," 1533","0.00",,,"78","59","  200","  150","14.1","23.9",,,,
"USW00094741","TETERBORO AIRPORT, NJ US","2019-08-28","3.80"," 0923","0.02",,,"77","66","  110","   80","12.1","15.0",,,,
"USW00094741","TETERBORO AIRPORT, NJ US","2019-08-29","7.61"," 1618","0.00",,,"84","65","  320","  320","19.9","23.9",,,,
"USW00094741","TETERBORO AIRPORT, NJ US","2019-08-30","6.71"," 1456","0.00",,,"89","60","  270","  250","19.9","28.0",,,,
"USW00094741","TETERBORO AIRPORT, NJ US","2019-08-31","4.70"," 0816","0.00",,,"83","67","  330","   30","12.1","16.1",,,,
"USW00094741","TETERBORO AIRPORT, NJ US","2019-09-01","6.49"," 1218","0.00",,,"83","61","  170","  110","14.1","23.9",,,,
"USW00094741","TETERBORO AIRPORT, NJ US","2019-09-02","6.93"," 1208","0.27",,,"87","69","  180","  180","18.1","23.9",,,,
"USW00094741","TETERBORO AIRPORT, NJ US","2019-09-03","4.70"," 1415","0.00",,,"84","67","  120","  130","14.1","23.9",,,,
"USW00094741","TETERBORO AIRPORT, NJ US","2019-09-04","7.61"," 1441","0.00",,,"94","64","  240","  270","19.9","25.9","    1","    1",,"    1"
"USW00094741","TETERBORO AIRPORT, NJ US","2019-09-05","5.14"," 0558","0.00",,,"75","64","   60","   30","10.1","15.0",,,,
"USW00094741","TETERBORO AIRPORT, NJ US","2019-09-06","8.28"," 1255","0.05",,,"68","59","   40","   70","15.0","25.9",,,,
"USW00094741","TETERBORO AIRPORT, NJ US","2019-09-07","8.05"," 1600","0.01",,,"78","56","  280","  280","17.0","23.9",,,,
"USW00094741","TETERBORO AIRPORT, NJ US","2019-09-08","4.70"," 1124","0.00",,,"81","58","  250","  240","13.0","21.0",,,,
"USW00094741","TETERBORO AIRPORT, NJ US","2019-09-09","4.70"," 1322","0.00",,,"79","63","  170","  110","10.1","15.0",,,,
"USW00094741","TETERBORO AIRPORT, NJ US","2019-09-10","5.82"," 0916","0.02",,,"86","65","  160","  130","16.1","25.1",,,,
"USW00094741","TETERBORO AIRPORT, NJ US","2019-09-11","8.50"," 1132","0.00",,,"93","68","  220","  230","16.1","19.9",,,,
"USW00094741","TETERBORO AIRPORT, NJ US","2019-09-12","6.49"," 1615","0.10",,,"81","63","   10","   10","14.1","18.1",,,,
"USW00094741","TETERBORO AIRPORT, NJ US","2019-09-13","8.28"," 1636","0.00",,,"75","57","  130","  130","18.1","33.1",,,,
"USW00094741","TETERBORO AIRPORT, NJ US","2019-09-14","5.82"," 1514","0.00",,,"79","62","  160","  120","15.0","30.0",,,,
"USW00094741","TETERBORO AIRPORT, NJ US","2019-09-15","3.58"," 1504","0.00",,,"85","64","  280","  310","13.0","18.1","    1",,,
"USW00094741","TETERBORO AIRPORT, NJ US","2019-09-16","2.91"," 1154","0.00",,,"78","65","   60","   60","8.9","12.1",,,,
"USW00094741","TETERBORO AIRPORT, NJ US","2019-09-17","6.04"," 1607","0.00",,,"78","59","   40","   20","14.1","19.0",,,,
"USW00094741","TETERBORO AIRPORT, NJ US","2019-09-18","6.71"," 1345","0.00",,,"73","56","  110","   20","14.1","18.1",,,,
"USW00094741","TETERBORO AIRPORT, NJ US","2019-09-19","4.25"," 1307","0.00",,,"78","47","  150","  150","14.1","23.0",,,,
"USW00094741","TETERBORO AIRPORT, NJ US","2019-09-20","3.58"," 1026","0.00",,,"82","49","  330","  310","15.0","19.9",,,,
"USW00094741","TETERBORO AIRPORT, NJ US","2019-09-21","2.46"," 1803","0.00",,,"86","54","  150","  140","8.9","13.0",,,,
"USW00094741","TETERBORO AIRPORT, NJ US","2019-09-22","5.59"," 1600","0.00",,,"92","59","  160","  160","21.0","36.0","    1",,,
"USW00094741","TETERBORO AIRPORT, NJ US","2019-09-23","8.95"," 1440","0.07",,,"92","70","  230","  220","21.0","25.9",,,,
"USW00094741","TETERBORO AIRPORT, NJ US","2019-09-24","8.72"," 1343","0.00",,,"78","60","  280","  270","19.9","25.9",,,,
"USW00094741","TETERBORO AIRPORT, NJ US","2019-09-25","4.47"," 1127","0.00",,,"82","56","  300","  280","18.1","21.0",,,,
"USW00094741","TETERBORO AIRPORT, NJ US","2019-09-26","5.59"," 1203","0.03",,,"86","57","  320","  140","21.0","29.1",,,,
"USW00094741","TETERBORO AIRPORT, NJ US","2019-09-27","4.03"," 1524","0.00",,,"79","55","  180","  180","14.1","19.0",,,,
"USW00094741","TETERBORO AIRPORT, NJ US","2019-09-28","5.59"," 1333","0.00",,,"88","60","  210","  220","17.0","21.0",,,,
"USW00094741","TETERBORO AIRPORT, NJ US","2019-09-29","7.16"," 1239","0.00",,,"80","63","   30","   50","14.1","19.0",,,,
"USW00094741","TETERBORO AIRPORT, NJ US","2019-09-30","6.93"," 1630","0.00",,,"71","60","  210","  130","13.0","19.9",,,,
"USW00094741","TETERBORO AIRPORT, NJ US","2019-10-01","9.17"," 1539","0.00",,,"86","63","  220","  230","16.1","19.0",,,,
"USW00094741","TETERBORO AIRPORT, NJ US","2019-10-02","8.72"," 1348","0.05",,,"95","63","  250","  250","21.9","30.0",,,,
"USW00094741","TETERBORO AIRPORT, NJ US","2019-10-03","5.82"," 0005","0.34",,,"64","53","   10","   20","14.1","19.9",,,,
"USW00094741","TETERBORO AIRPORT, NJ US","2019-10-04","9.62"," 1135","0.00",,,"67","49","  310","  300","23.0","31.1",,,,
"USW00094741","TETERBORO AIRPORT, NJ US","2019-10-05","5.59"," 1328","0.00",,,"61","44","  210","  170","12.1","17.0",,,,
"USW00094741","TETERBORO AIRPORT, NJ US","2019-10-06","7.61"," 1258","0.00",,,"75","54","  170","  160","17.0","30.0",,,,
"USW00094741","TETERBORO AIRPORT, NJ US","2019-10-07","10.29"," 1040","0.35",,,"80","60","  210","  200","25.1","31.1",,,,
"USW00094741","TETERBORO AIRPORT, NJ US","2019-10-08","6.26"," 1111","0.04",,,"65","58","   20","   10","13.0","19.9",,,,
"USW00094741","TETERBORO AIRPORT, NJ US","2019-10-09","8.50"," 0947","0.54",,,"59","53","   60","   60","17.0","25.9",,,,
"USW00094741","TETERBORO AIRPORT, NJ US","2019-10-10","10.96"," 1947","0.00",,,"72","53","   10","  360","18.1","27.1",,,,
"USW00094741","TETERBORO AIRPORT, NJ US","2019-10-11","10.51"," 1104","0.00",,,"66","55","   40","   20","17.0","25.9",,,,
"USW00094741","TETERBORO AIRPORT, NJ US","2019-10-12","4.92"," 0001","0.00",,,"71","56","   30","   30","13.0","16.1",,,,
"USW00094741","TETERBORO AIRPORT, NJ US","2019-10-13","4.70"," 1359","0.00",,,"76","49","  200","  170","13.0","19.0",,,,
"USW00094741","TETERBORO AIRPORT, NJ US","2019-10-14","5.14"," 1459","0.00",,,"75","57","  240","  260","17.0","25.1",,,,
"USW00094741","TETERBORO AIRPORT, NJ US","2019-10-15","3.13"," 1339","0.00",,,"70","46","  160","  130","10.1","19.0",,,,
"USW00094741","TETERBORO AIRPORT, NJ US","2019-10-16","9.62"," 2211","2.34",,,"70","47","  310","  310","32.0","42.9",,,,
"USW00094741","TETERBORO AIRPORT, NJ US","2019-10-17","16.11"," 1313","0.00",,,"59","51","  270","  260","30.0","42.9",,,,
"USW00094741","TETERBORO AIRPORT, NJ US","2019-10-18","12.08"," 1423","0.00",,,"59","44","  310","  310","23.0","31.1",,,,
"USW00094741","TETERBORO AIRPORT, NJ US","2019-10-19","2.01"," 1428","0.00",,,"63","37","  190","  130","12.1","21.9",,,,
"USW00094741","TETERBORO AIRPORT, NJ US","2019-10-20","3.80"," 2340","0.43",,,"57","41","   40","   50","8.1","13.0",,,,
"USW00094741","TETERBORO AIRPORT, NJ US","2019-10-21","5.37"," 1059","0.01",,,"70","50","  360","  350","12.1","16.1",,,,
"USW00094741","TETERBORO AIRPORT, NJ US","2019-10-22","6.26"," 1628","0.39",,,"66","52","  110","  120","14.1","18.1",,,,
"USW00094741","TETERBORO AIRPORT, NJ US","2019-10-23","7.61"," 1207","0.03",,,"68","47","  290","  290","19.9","25.1",,,,
"USW00094741","TETERBORO AIRPORT, NJ US","2019-10-24","5.37"," 1545","0.00",,,"69","42","  170","  170","15.0","21.9",,,,
"USW00094741","TETERBORO AIRPORT, NJ US","2019-10-25","3.13"," 1059","0.00",,,"69","45","  160","  140","12.1","21.9",,,,
"USW00094741","TETERBORO AIRPORT, NJ US","2019-10-26","4.03"," 1123","0.00",,,"64","50","   10","   10","10.1","16.1",,,,
"USW00094741","TETERBORO AIRPORT, NJ US","2019-10-27","7.38"," 0941","1.77",,,"70","52","  140","  130","21.9","33.1",,,,
"USW00094741","TETERBORO AIRPORT, NJ US","2019-10-28","4.03"," 0535","0.00",,,"64","51","  340","  340","14.1","18.1",,,,
"USW00094741","TETERBORO AIRPORT, NJ US","2019-10-29","4.92"," 0003","0.07",,,"61","55","  110","  110","8.9","13.0",,,,
"USW00094741","TETERBORO AIRPORT, NJ US","2019-10-30","3.80"," 1335","0.05",,,"65","58","  190","   60","6.9","8.9",,,,
"USW00094741","TETERBORO AIRPORT, NJ US","2019-10-31","13.20"," 2349","0.86",,,"77","62","  250","  260","32.0","44.1","    1",,,
"USW00094741","TETERBORO AIRPORT, NJ US","2019-11-01","12.75"," 0350","0.01",,,"64","41","  280","  290","32.0","40.0",,,,
"USW00094741","TETERBORO AIRPORT, NJ US","2019-11-02","3.58"," 1249","0.00",,,"53","36","  180","  180","13.0","16.1",,,,
"USW00094741","TETERBORO AIRPORT, NJ US","2019-11-03","4.92"," 1025","0.00",,,"55","35","  300","  320","15.0","19.9",,,,
"USW00094741","TETERBORO AIRPORT, NJ US","2019-11-04","5.14"," 1210","0.00",,,"57","35","  170","  130","17.0","23.9",,,,
"USW00094741","TETERBORO AIRPORT, NJ US","2019-11-05","3.80"," 1505","0.00",,,"63","41","  330","  250","13.0","17.0",,,,
"USW00094741","TETERBORO AIRPORT, NJ US","2019-11-06","4.70"," 1813","0.00",,,"58","38","  290","  190","14.1","18.1",,,,
"USW00094741","TETERBORO AIRPORT, NJ US","2019-11-07","7.38"," 2143","0.09",,,"58","40","  330","  310","16.1","21.0","    1",,,
"USW00094741","TETERBORO AIRPORT, NJ US","2019-11-08","12.53"," 1207","0.00",,,"41","28","  330","  340","23.9","34.0",,,,
"USW00094741","TETERBORO AIRPORT, NJ US","2019-11-09","3.58"," 1402","0.00",,,"40","22","  180","  220","13.0","17.0",,,,
"USW00094741","TETERBORO AIRPORT, NJ US","2019-11-10","4.92"," 1212","0.00",,,"52","31","  200","  170","15.0","21.9",,,,
"USW00094741","TETERBORO AIRPORT, NJ US","2019-11-11","2.91"," 1520","0.00",,,"71","39","  120","  160","13.0","18.1",,,"    1",
"USW00094741","TETERBORO AIRPORT, NJ US","2019-11-12","12.75"," 2103","0.02",,,"53","24","  330","  330","21.9","33.1",,,,
"USW00094741","TETERBORO AIRPORT, NJ US","2019-11-13","9.84"," 0936","0.00",,,"34","22","  320","  320","21.0","27.1",,,,
